transaction_id,timestamp,customer_id,transaction_type,amount,currency,stock_ticker,stock_price,news_text
1000,2025-03-08 09:00:00,C015,Deposit,7341.46,EUR,MSFT,3148.38,Stock markets show volatility amid economic uncertainty
1001,2025-03-08 09:05:00,C015,Deposit,3799.52,GBP,AAPL,2845.4,Nvidia GPU demand surges due to AI advancements
1002,2025-03-08 09:10:00,C012,Payment,9582.15,EUR,NVDA,3739.48,Amazon announces new AI-powered logistics platform
1003,2025-03-08 09:15:00,C001,Deposit,5103.73,EUR,AMZN,944.48,Apple stock rises after positive earnings report
1004,2025-03-08 09:20:00,C007,Transfer,1734.76,GBP,AMZN,567.1,Microsoft expands cloud services to new regions
1005,2025-03-08 09:25:00,C014,Withdrawal,9807.05,JPY,TSLA,3065.03,Microsoft expands cloud services to new regions
1006,2025-03-08 09:30:00,C012,Payment,1514.8,GBP,TSLA,3947.51,Stock markets show volatility amid economic uncertainty
1007,2025-03-08 09:35:00,C014,Payment,3453.28,EUR,AAPL,3993.0,Nvidia GPU demand surges due to AI advancements
1008,2025-03-08 09:40:00,C013,Withdrawal,4373.03,EUR,MSFT,1766.3,Apple stock rises after positive earnings report
1009,2025-03-08 09:45:00,C015,Withdrawal,9269.96,JPY,AMZN,1615.46,AI-driven trading strategies outperform traditional models
1010,2025-03-08 09:50:00,C019,Withdrawal,5306.19,USD,NVDA,1392.17,Stock markets show volatility amid economic uncertainty
1011,2025-03-08 09:55:00,C007,Payment,9612.36,GBP,TSLA,2385.76,Cryptocurrency adoption grows among institutional investors
1012,2025-03-08 10:00:00,C002,Withdrawal,5796.22,GBP,AMZN,591.16,Regulatory changes impact global financial markets
1013,2025-03-08 10:05:00,C013,Withdrawal,1567.68,JPY,AMZN,319.66,Stock markets show volatility amid economic uncertainty
1014,2025-03-08 10:10:00,C011,Withdrawal,7443.22,EUR,MSFT,1404.6,Nvidia GPU demand surges due to AI advancements
1015,2025-03-08 10:15:00,C003,Withdrawal,7519.0,GBP,AMZN,2435.73,Microsoft expands cloud services to new regions
1016,2025-03-08 10:20:00,C018,Payment,1993.85,USD,AAPL,567.13,Microsoft expands cloud services to new regions
1017,2025-03-08 10:25:00,C004,Deposit,2251.52,USD,AMZN,2321.06,Apple stock rises after positive earnings report
1018,2025-03-08 10:30:00,C005,Withdrawal,9559.71,USD,TSLA,2986.57,Microsoft expands cloud services to new regions
1019,2025-03-08 10:35:00,C017,Deposit,6235.3,USD,AAPL,3242.48,Central banks consider interest rate adjustments
1020,2025-03-08 10:40:00,C012,Withdrawal,6694.28,JPY,NVDA,437.28,Amazon announces new AI-powered logistics platform
1021,2025-03-08 10:45:00,C017,Transfer,4687.02,EUR,AMZN,2766.63,Stock markets show volatility amid economic uncertainty
1022,2025-03-08 10:50:00,C007,Withdrawal,5598.88,EUR,AMZN,2357.25,Nvidia GPU demand surges due to AI advancements
1023,2025-03-08 10:55:00,C002,Transfer,395.38,USD,AMZN,2674.99,AI-driven trading strategies outperform traditional models
